,base_asset,compare_asset,label
39756,HEPA,TATT,0
39787,HEPA,VOXX,0
39788,HEPA,VRDN,0
39789,HEPA,VSTM,0
39790,HEPA,VTSI,0
39791,HEPA,VTVT,0
39792,HEPA,VUZI,0
39793,HEPA,VVPR,0
39794,HEPA,WATT,0
39795,HEPA,WFCF,0
39796,HEPA,WHLM,0
39797,HEPA,WHLR,0
39798,HEPA,WKSP,0
39799,HEPA,WLFC,0
39800,HEPA,WORX,0
39801,HEPA,WPRT,0
39802,HEPA,WSTG,0
39803,HEPA,WULF,0
39804,HEPA,WVVI,0
39805,HEPA,XBIT,0
39806,HEPA,XELA,0
39807,HEPA,XELB,0
39808,HEPA,XSPA,0
39809,HEPA,YGYI,0
39810,HEPA,YTEN,0
39811,HEPA,YTRA,0
39786,HEPA,VJET,0
39785,HEPA,VIVE,0
39784,HEPA,VISL,0
39783,HEPA,VIRX,0
39757,HEPA,TEDU,0
39758,HEPA,THMO,0
39759,HEPA,THTX,0
39760,HEPA,TKAT,0
39761,HEPA,TMBR,0
39762,HEPA,TMDI,0
39763,HEPA,TOMZ,0
39764,HEPA,TPHS,0
39765,HEPA,TROO,0
39766,HEPA,TRUE,0
39767,HEPA,TSAT,0
39768,HEPA,TTNP,0
39755,HEPA,TARA,0
39769,HEPA,TUSK,0
39771,HEPA,TXMD,0
39772,HEPA,TYME,0
39773,HEPA,UBCP,0
39774,HEPA,UBOH,0
39775,HEPA,UONE,0
39776,HEPA,USAK,0
39777,HEPA,USAU,0
39778,HEPA,UTMD,0
39779,HEPA,UTSI,0
39780,HEPA,VBIV,0
39781,HEPA,VERB,0
39782,HEPA,VERU,0
39770,HEPA,TWIN,0
40399,IBIO,MSVB,0
40400,IBIO,MTNB,0
40401,IBIO,NAVB,0
41019,IDRA,SELB,0
41020,IDRA,SLRX,0
41021,IDRA,SNDA,0
41022,IDRA,SNMP,0
